ISO3,CountryName,nCells,Pop,MeanAnnual_recent,MeanOSDMA8_recent,SlopeAnnual_ppb_per_decade,SlopeOSDMA8_ppb_per_decade,FracCellsSignif
NRU,"Nauru",2,10375.11328125,18.9124038197851,21.2857622224857,-0.851370077041253,-1.49653525393497,0
NZL,"New Zealand",75,4681951.98225108,23.7437193332489,26.0170782975354,-0.858239439189505,-1.48865665662094,0.6
CHL,"Chile",124,18485017.7956834,26.9546126983468,31.431381871382,-0.904502866091165,-0.386057657761301,0.758064516129032
MHL,"Marshall Islands",18,5568.38688224555,22.9771406197783,27.810504224324,-0.913367378865011,-1.33981657703666,0.888888888888889
SLV,"El Salvador",4,4962517.48028183,32.540950690156,35.4063783431916,-0.940948076932136,-1.49801518274017,0.25
IRL,"Ireland",19,4853593.15825248,30.5286136880483,34.3788799876066,-0.952460406474003,-1.358784674716,0.578947368421053
KIR,"Kiribati",26,88207.9484462738,18.7740498113405,21.5198469778768,-0.955558917815313,-1.41582262154093,0.346153846153846
CCK,"Cocos (Keeling) Islands",1,630.568824768067,24.440738820352,26.5696576982625,-0.961235687757421,-1.26548705286174,0
CXR,"Christmas Island",2,1588.54926252365,25.1715370962838,27.5732651157151,-0.976012464772359,-0.967845612358303,0.5
AUS,"Australia",812,25188477.687164,25.9511772130605,28.6343203365674,-0.979279313316192,-1.13576864961131,0.722906403940887
HTI,"Haiti",7,11010463.5500641,31.8284585617675,34.8005201865659,-0.990928449834877,-1.24813415750777,0.142857142857143
LBN,"Lebanon",3,8241607.27810669,39.6419403282318,45.4759480095348,-0.991313508588122,-1.62809526516655,0.333333333333333
HRV,"Croatia",13,5094653.39480835,37.9538486225204,47.7830234995508,-0.996474175885218,-1.48498345473552,0.538461538461538
BHS,"Bahamas",23,377532.050281197,34.5626261009449,38.5483265527789,-1.0134842398747,-1.39051956203324,0.956521739130435
FLK,"Falkland Islands (Malvinas)",12,2923.70890749712,21.9664195146846,25.8178335152284,-1.01422514840151,-0.824038783539544,0.666666666666667
CAF,"Central African Republic",49,5050386.31057644,34.3053274025177,39.7560162173791,-1.05532675311825,-1.5543534380707,0.591836734693878
HND,"Honduras",17,8858105.94061381,29.4203535738769,32.5347355593162,-1.05869378193645,-1.16599793604897,0.529411764705882
BLR,"Belarus",29,9398455.86172485,30.7475915045605,37.6446681020377,-1.06844082278251,-1.35481605524009,0.620689655172414
SLB,"Solomon Islands",27,643357.872869998,20.0264268632701,21.6135161908436,-1.10431863025908,-1.65578828890279,0.518518518518518
TUR,"Turkey",98,82297815.4559,30.3968851998438,37.9249855062969,-1.13506584662873,-2.14408171816222,0.122448979591837
BLZ,"Belize",4,763013.230194807,30.5906472563973,33.8659461097363,-1.14447158571964,-1.22562795587745,1
SVN,"Slovenia",4,1926738.18606567,42.1687686620517,51.2518569868882,-1.1551247905766,-1.56485762271202,0.5
BRB,"Barbados",2,287000.42578125,24.2450128721251,27.3497785684563,-1.16761143527132,-2.01374891602741,0.5
DOM,"Dominican Republic",10,11198408.5941925,31.4392323219355,35.2487954688502,-1.19024315730629,-1.24742767264508,0.5
JAM,"Jamaica",4,2827402.03074265,33.4487022033969,36.5438312472445,-1.20372442753969,-1.40686966829844,0.5
CPV,"Cabo Verde",7,496947.567732334,32.3869056688863,35.6991139169136,-1.21422771641259,-1.88272635871798,0.571428571428571
TCA,"Turks and Caicos Islands",3,28762.674530983,30.6107822438908,34.466257705181,-1.22628338982965,-1.06149692859246,1
CUB,"Cuba",26,11345771.3603704,34.0195879037983,37.4326344717864,-1.28470121578068,-1.80529261275168,0.961538461538462
KNA,"Saint Kitts and Nevis",1,62138.4091949463,26.4404581313805,30.4929628672451,-1.36285762221875,-1.65702456819162,0
IMN,"Isle of Man",1,80769.0782775879,31.848332123879,35.5872774612756,-1.37427661930773,-2.07318365079126,1
LTU,"Lithuania",10,2958389.13751221,29.9012070528251,36.8303176244323,-1.38248022138013,-1.28161080000458,1
LVA,"Latvia",10,2031172.05685955,31.3330861429195,36.9437111087844,-1.42796319431842,-1.83096627144707,0.6
VCT,"Saint Vincent and the Grenadines",1,106182.651672363,24.8444137096053,28.2090160613678,-1.43878439813792,-1.88298650564044,0
MTQ,"Martinique",1,327075.121246338,25.9492798726578,30.2191835289605,-1.48516950605744,-1.89182050874848,0
GLP,"Guadeloupe",3,535097.651075363,26.8187492051133,31.8578353353967,-1.48601339615369,-1.64404557068214,0.333333333333333
GRD,"Grenada",2,108876.928955078,24.8521329682653,28.0785486345461,-1.49995932043417,-2.09613732063501,0
GTM,"Guatemala",9,17900660.7100334,32.2025415771868,35.276849327111,-1.58583575421122,-2.48989978824322,0.888888888888889
VGB,"British Virgin Islands",2,2434.47683811187,26.4168063110974,30.4068642915659,-1.58875451621452,-1.82000104013758,0
MNE,"Montenegro",2,712136.099807739,37.6087456379666,44.5427126656878,-1.59868652350387,-2.4164907964037,0.5
VIR,"United States Virgin Islands",1,135914.178466797,26.0436441491761,29.405028459915,-1.61819259103632,-1.99330826119363,0
ABW,"Aruba",1,905.497802734375,26.0069806812975,30.3350223287256,-1.63217990852456,-1.69167615574659,1
ITA,"Italy",63,57075148.9012451,37.7876991940271,48.6562552574366,-1.64362947780174,-2.10961671617524,0.555555555555556
VEN,"Venezuela, Bolivarian Republic of",89,33181647.0723596,25.6337589355362,28.1791128542385,-1.68627395830662,-1.84956531091522,0.831460674157303
ANT,"Netherlands Antilles",2,181265.232448101,27.0125993823472,30.8095851064051,-1.73981729535188,-1.53568310653449,0.5
ATG,"Antigua and Barbuda",3,100365.442058563,26.7729102971031,31.4605884773199,-1.75607672431441,-2.17351199838849,0.333333333333333
LCA,"Saint Lucia",1,321138.135890961,25.2777299938943,29.2081914354707,-1.8055850671035,-2.14940868563557,0
TTO,"Trinidad and Tobago",3,1142174.56506205,24.0751068688015,26.5474942307991,-1.82544931148869,-2.37920022342505,1
PRI,"Puerto Rico",5,3684928.56940192,25.4278689500522,28.4876451530793,-1.94609142642562,-2.45248429732216,0.4
ECU,"Ecuador",32,17408092.35819,23.2591058910686,25.1437310716383,-1.94824994483026,-2.21816991268167,1
GUY,"Guyana",19,762504.331154466,21.5311292095363,23.694448143844,-2.05303200221145,-2.54492925103834,1
